period,genre,subfield,count
1700_1749,catalogue_list,paleontology,2
1700_1749,monograph_or_book,natural_history_ecology_behavior,7
1700_1749,monograph_or_book,taxonomy_systematics,6
1700_1749,popular_or_essay,physiology,1
1750_1799,catalogue_list,taxonomy_systematics,3
1750_1799,journal_or_proceedings_volume,natural_history_ecology_behavior,4
1750_1799,monograph_or_book,comparative_anatomy_morphology,3
1750_1799,monograph_or_book,evolution_adaptation,1
1750_1799,monograph_or_book,general_or_unknown,23
1750_1799,monograph_or_book,natural_history_ecology_behavior,42
1750_1799,monograph_or_book,paleontology,1
1750_1799,monograph_or_book,physiology,2
1750_1799,monograph_or_book,taxonomy_systematics,18
1750_1799,popular_or_essay,general_or_unknown,3
1750_1799,popular_or_essay,natural_history_ecology_behavior,3
1750_1799,textbook_manual,natural_history_ecology_behavior,1
1750_1799,textbook_manual,taxonomy_systematics,5
1800_1829,catalogue_list,taxonomy_systematics,5
1800_1829,journal_or_proceedings_volume,general_or_unknown,8
1800_1829,journal_or_proceedings_volume,natural_history_ecology_behavior,7
1800_1829,journal_or_proceedings_volume,paleontology,1
1800_1829,monograph_or_book,comparative_anatomy_morphology,16
1800_1829,monograph_or_book,evolution_adaptation,2
1800_1829,monograph_or_book,general_or_unknown,50
1800_1829,monograph_or_book,natural_history_ecology_behavior,73
1800_1829,monograph_or_book,paleontology,16
1800_1829,monograph_or_book,physiology,2
1800_1829,monograph_or_book,taxonomy_systematics,57
1800_1829,popular_or_essay,comparative_anatomy_morphology,13
1800_1829,popular_or_essay,general_or_unknown,4
1800_1829,popular_or_essay,natural_history_ecology_behavior,2
1800_1829,popular_or_essay,physiology,1
1800_1829,textbook_manual,comparative_anatomy_morphology,5
1800_1829,textbook_manual,general_or_unknown,1
1800_1829,textbook_manual,natural_history_ecology_behavior,5
1800_1829,textbook_manual,paleontology,5
1800_1829,textbook_manual,physiology,1
1800_1829,textbook_manual,taxonomy_systematics,8
1830_1849,catalogue_list,comparative_anatomy_morphology,1
1830_1849,catalogue_list,general_or_unknown,2
1830_1849,catalogue_list,natural_history_ecology_behavior,3
1830_1849,catalogue_list,taxonomy_systematics,30
